Brand,Product_Name,Electrical_Category,Specification,Application,Quality_Level,Quality_Score,Unit,Quantity_Rule,Rule_Value,Required_For,Optional,Price_EGP,Category,Subcategory,Grade,Quality_Price_Band,Estimated_Quantity,Estimated_Total_Cost,Finishing_Category
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3073,Electrical,Wires & Cables,Not Applicable,High: > 2775,6.0,18438.0,Electrical
Legrand,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1773,Electrical,Wires & Cables,Not Applicable,Low: <= 1966,5.0,8865.0,Electrical
Hager,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Low,8.7,Roll,Per_Area,0.05,Lighting,False,1655,Electrical,Wires & Cables,Not Applicable,Low: <= 1966,5.0,8275.0,Electrical
Legrand,Copper Wire,Wires & Cables,1.5 mm² / 100m,Lighting,Medium,8.7,Roll,Per_Area,0.05,Lighting,False,2006,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775,5.0,10030.0,Electrical
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2847,Electrical,Wires & Cables,Not Applicable,High: > 2775,6.0,17082.0,Electrical
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,2777,Electrical,Wires & Cables,Not Applicable,High: > 2775,6.0,16662.0,Electrical
Venus Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2650,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775,6.0,15900.0,Electrical
Hager,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3003,Electrical,Wires & Cables,Not Applicable,High: > 2775,6.0,18018.0,Electrical
El Sewedy Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,High,8.8,Roll,Per_Area,0.06,Sockets,False,3090,Electrical,Wires & Cables,Not Applicable,High: > 2775,6.0,18540.0,Electrical
Schneider Electric,Copper Wire,Wires & Cables,2.5 mm² / 100m,Sockets,Medium,8.8,Roll,Per_Area,0.06,Sockets,False,2614,Electrical,Wires & Cables,Not Applicable,Medium: 1966 - 2775,6.0,15684.0,Electrical
